"Year","std_Weight","ARS","rel_ARS","Age","Centered_Age","Year2","animal","StagCode"
"1983",-1.30829400809713,0,0,8,-0.914251207729469,1983,205,205
"1983",-1.09477456308617,2,1.48121645796064,7,-1.91425120772947,1983,182,182
"1983",-1.38862805671512,0,0,7,-1.91425120772947,1983,188,188
"1983",-1.53449777657409,0,0,7,-1.91425120772947,1983,188,188
"1983",0.0328618446239426,0,0,7,-1.91425120772947,1983,214,214
"1983",-0.800921069457223,1,0.740608228980322,8,-0.914251207729469,1983,142,142
"1983",-0.280863807351316,0,0,9,0.0857487922705307,1983,100,100
"1984",-0.162476788335338,1,0.740608228980322,8,-0.914251207729469,1984,214,214
"1984",0.372378851147567,0,0,9,0.0857487922705307,1984,251,251
"1984",-0.365425963791301,0,0,9,0.0857487922705307,1984,142,142
"1984",0.695829099530509,3,2.22182468694097,8,-0.914251207729469,1984,85,85
"1984",-0.340057316859306,0,0,9,0.0857487922705307,1984,163,163
"1984",-1.22584590556815,0,0,8,-0.914251207729469,1984,188,188
"1984",-0.564147031425266,0,0,10,1.08574879227053,1984,357,357
"1984",-0.919308088473202,0,0,10,1.08574879227053,1984,357,357
"1984",-1.42033886538011,0,0,8,-0.914251207729469,1984,275,275
"1984",-1.00809835273519,6,4.44364937388193,7,-1.91425120772947,1984,158,158
"1984",-1.65922695732307,1,0.740608228980322,6,-2.91425120772947,1984,229,229
"1984",-1.24910049858914,0,0,6,-2.91425120772947,1984,164,164
"1984",-1.5027869679091,0,0,5,-3.91425120772947,1984,210,210
"1984",-1.55986642350609,0,0,5,-3.91425120772947,1984,210,210
"1984",-1.35480319413912,0,0,9,0.0857487922705307,1984,175,175
"1984",-1.24275833685614,0,0,9,0.0857487922705307,1984,175,175
"1984",-0.970045382337193,0,0,8,-0.914251207729469,1984,124,124
"1984",-1.16031023432716,0,0,7,-1.91425120772947,1984,252,252
"1984",-1.05883564659918,0,0,7,-1.91425120772947,1984,176,176
"1985",0.257374266806272,3,2.22182468694097,9,0.0857487922705307,1985,40,40
"1985",0.245535616487589,3,2.22182468694097,9,0.0857487922705307,1985,40,40
"1985",0.334325880749573,0,0,10,1.08574879227053,1985,251,251
"1985",0.175771837424602,0,0,10,1.08574879227053,1985,251,251
"1985",-0.420391365477291,4,2.96243291592129,9,0.0857487922705307,1985,241,241
"1985",-0.403478934189294,4,2.96243291592129,9,0.0857487922705307,1985,241,241
"1985",-0.610656217467257,0,0,8,-0.914251207729469,1985,158,158
"1985",-0.638138918310252,0,0,8,-0.914251207729469,1985,158,158
"1985",-0.537932711345955,4,2.96243291592129,9,0.0857487922705307,1985,182,182
"1985",-0.530322168849272,1,0.740608228980322,8,-0.914251207729469,1985,308,308
"1985",0.848040981122481,1,0.740608228980322,9,0.0857487922705307,1985,85,85
"1985",0.807873956813489,1,0.740608228980322,9,0.0857487922705307,1985,85,85
"1985",-0.139222195314342,0,0,11,2.08574879227053,1985,134,134
"1985",0.277246425152584,0,0,9,0.0857487922705307,1985,77,77
"1985",0.733882069928502,3,2.22182468694097,9,0.0857487922705307,1985,214,214
"1985",-0.502839468006277,1,0.740608228980322,8,-0.914251207729469,1985,173,173
"1985",-0.521865953205273,1,0.740608228980322,8,-0.914251207729469,1985,173,173
"1985",-0.31468866992731,1,0.740608228980322,9,0.0857487922705307,1985,261,261
"1985",-0.974273490159192,0,0,9,0.0857487922705307,1985,188,188
"1985",-1.02078267620118,0,0,9,0.0857487922705307,1985,188,188
"1985",0.179999945246601,0,0,11,2.08574879227053,1985,185,185
"1985",0.0616129262306223,0,0,11,2.08574879227053,1985,185,185
"1985",-0.602200001823259,0,0,6,-2.91425120772947,1985,334,334
"1985",-0.589515678357261,0,0,6,-2.91425120772947,1985,334,334
"1985",-0.978501597981191,2,1.48121645796064,6,-2.91425120772947,1985,239,239
"1985",-0.997528083180188,2,1.48121645796064,6,-2.91425120772947,1985,239,239
"1985",-1.40342643409212,0,0,6,-2.91425120772947,1985,256,256
"1985",-0.699446481729241,0,0,8,-0.914251207729469,1985,279,279
"1985",-0.614884325289257,0,0,8,-0.914251207729469,1985,279,279
"1985",-1.40976859582511,0,0,5,-3.91425120772947,1985,198,198
"1985",-0.813605392923221,0,0,6,-2.91425120772947,1985,210,210
"1985",-1.49306237150141,0,0,6,-2.91425120772947,1985,339,339
"1985",-0.361197855969302,0,0,8,-0.914251207729469,1985,144,144
"1985",-0.623340540933255,0,0,8,-0.914251207729469,1985,252,252
"1985",-0.87279890243121,0,0,8,-0.914251207729469,1985,252,252
"1986",0.251877778220588,0,0,10,1.08574879227053,1986,40,40
"1986",-0.902395657185205,2,1.48121645796064,6,-2.91425120772947,1986,198,198
"1986",-1.01866862229018,2,1.48121645796064,6,-2.91425120772947,1986,198,198
"1986",-2.38646150270694,1,0.740608228980322,5,-3.91425120772947,1986,146,146
"1986",0.0658410340526215,0,0,9,0.0857487922705307,1986,308,308
"1986",-1.43513724275711,2,1.48121645796064,7,-1.91425120772947,1986,217,217
"1986",-0.0525459849633573,5,3.70304114490161,9,0.0857487922705307,1986,173,173
"1986",-2.41183014963893,0,0,5,-3.91425120772947,1986,329,329
"1986",-2.28921502280096,0,0,5,-3.91425120772947,1986,329,329
"1986",-0.982729705803191,1,0.740608228980322,7,-1.91425120772947,1986,339,339
"1986",-0.208985974377329,2,1.48121645796064,11,2.08574879227053,1986,253,253
"1986",-1.28715346898714,0,0,5,-3.91425120772947,1986,309,309
"1986",-1.67191128078907,0,0,5,-3.91425120772947,1986,309,309
"1986",-0.564147031425266,5,3.70304114490161,7,-1.91425120772947,1986,239,239
"1986",-0.513409737561275,0,0,9,0.0857487922705307,1986,279,279
"1986",0.446370738032553,1,0.740608228980322,7,-1.91425120772947,1986,334,334
"1986",-1.62117398692508,0,0,7,-1.91425120772947,1986,222,222
"1986",-0.458444335875285,1,0.740608228980322,7,-1.91425120772947,1986,215,215
"1986",-0.536664330582271,1,0.740608228980322,7,-1.91425120772947,1986,215,215
"1986",-2.069353416057,1,0.740608228980322,6,-2.91425120772947,1986,373,373
